lane,strategy,contract,arm,track,caseId,obligation,partitionContext,semanticInputKey,inputAccepted,businessObserved,effect,authority,verdict,failure,auditPath,limit
complementary,source-guided,E1-1,zero-shot,interest,ESSENTIAL12x7-V2-E1-1-rates-specific-default-zero,INTCALC-OBL-003,"[""default_nonzero"", ""final_account_eof"", ""multiple_accounts"", ""specific_nonzero"", ""specific_zero""]",e84269b9573f9b8ebc79f522fb481436ecd664e054be0552a78a79a9b7e47c36,accepted_to_invocation,True,interest_stable_fields_order,source-derived,failed,"[""value_or_multiplicity"", ""ordered_records_differ""]",<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/complementary-matrix-v2/parent-full84-v1/campaign/P3-COMPLEMENTARY-MATRIX-V2-ESSENTIAL12x7/cases/ESSENTIAL12x7-V2-E1-1-rates-specific-default-zero/replay/applications/0001-d9e65a8e5e8fa792/zero-shot-runs/p2b-runs/interest-nk5s2lwu/audit.json,"[""nonnegative DISPLAY only; overflow unqualified"", ""financial expectation requires final group update; source legacy does not"", ""timestamps and filler excluded from transaction comparison""]"
complementary,source-guided,E1-1,zero-shot,interest,ESSENTIAL12x7-V2-E1-1-rates-specific-default-zero,INTCALC-OBL-004,"[""default_nonzero"", ""final_account_eof"", ""multiple_accounts"", ""specific_nonzero"", ""specific_zero""]",e84269b9573f9b8ebc79f522fb481436ecd664e054be0552a78a79a9b7e47c36,accepted_to_invocation,True,interest_stable_fields_order,source-derived,failed,"[""value_or_multiplicity"", ""ordered_records_differ""]",<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/complementary-matrix-v2/parent-full84-v1/campaign/P3-COMPLEMENTARY-MATRIX-V2-ESSENTIAL12x7/cases/ESSENTIAL12x7-V2-E1-1-rates-specific-default-zero/replay/applications/0001-d9e65a8e5e8fa792/zero-shot-runs/p2b-runs/interest-nk5s2lwu/audit.json,"[""nonnegative DISPLAY only; overflow unqualified"", ""financial expectation requires final group update; source legacy does not"", ""timestamps and filler excluded from transaction comparison""]"
complementary,source-guided,E1-1,zero-shot,interest,ESSENTIAL12x7-V2-E1-1-rates-specific-default-zero,INTCALC-OBL-005,"[""default_nonzero"", ""final_account_eof"", ""multiple_accounts"", ""specific_nonzero"", ""specific_zero""]",e84269b9573f9b8ebc79f522fb481436ecd664e054be0552a78a79a9b7e47c36,accepted_to_invocation,True,interest_stable_fields_order,source-derived,failed,"[""value_or_multiplicity"", ""ordered_records_differ""]",<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/complementary-matrix-v2/parent-full84-v1/campaign/P3-COMPLEMENTARY-MATRIX-V2-ESSENTIAL12x7/cases/ESSENTIAL12x7-V2-E1-1-rates-specific-default-zero/replay/applications/0001-d9e65a8e5e8fa792/zero-shot-runs/p2b-runs/interest-nk5s2lwu/audit.json,"[""nonnegative DISPLAY only; overflow unqualified"", ""financial expectation requires final group update; source legacy does not"", ""timestamps and filler excluded from transaction comparison""]"
complementary,source-guided,E1-1,zero-shot,interest,ESSENTIAL12x7-V2-E1-1-rates-specific-default-zero,INTCALC-OBL-006,"[""default_nonzero"", ""final_account_eof"", ""multiple_accounts"", ""specific_nonzero"", ""specific_zero""]",e84269b9573f9b8ebc79f522fb481436ecd664e054be0552a78a79a9b7e47c36,accepted_to_invocation,True,interest_stable_fields_order,source-derived,failed,"[""value_or_multiplicity"", ""ordered_records_differ""]",<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/complementary-matrix-v2/parent-full84-v1/campaign/P3-COMPLEMENTARY-MATRIX-V2-ESSENTIAL12x7/cases/ESSENTIAL12x7-V2-E1-1-rates-specific-default-zero/replay/applications/0001-d9e65a8e5e8fa792/zero-shot-runs/p2b-runs/interest-nk5s2lwu/audit.json,"[""nonnegative DISPLAY only; overflow unqualified"", ""financial expectation requires final group update; source legacy does not"", ""timestamps and filler excluded from transaction comparison""]"
complementary,source-guided,E1-1,zero-shot,interest,ESSENTIAL12x7-V2-E1-1-rates-specific-default-zero,INTCALC-OBL-007,"[""default_nonzero"", ""final_account_eof"", ""multiple_accounts"", ""specific_nonzero"", ""specific_zero""]",e84269b9573f9b8ebc79f522fb481436ecd664e054be0552a78a79a9b7e47c36,accepted_to_invocation,True,accounts_legacy_all_fields,source-derived,pass,[],<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/complementary-matrix-v2/parent-full84-v1/campaign/P3-COMPLEMENTARY-MATRIX-V2-ESSENTIAL12x7/cases/ESSENTIAL12x7-V2-E1-1-rates-specific-default-zero/replay/applications/0001-d9e65a8e5e8fa792/zero-shot-runs/p2b-runs/interest-nk5s2lwu/audit.json,"[""nonnegative DISPLAY only; overflow unqualified"", ""financial expectation requires final group update; source legacy does not"", ""timestamps and filler excluded from transaction comparison""]"
complementary,source-guided,E1-1,zero-shot,interest,ESSENTIAL12x7-V2-E1-1-rates-specific-default-zero,INTCALC-OBL-008,"[""default_nonzero"", ""final_account_eof"", ""multiple_accounts"", ""specific_nonzero"", ""specific_zero""]",e84269b9573f9b8ebc79f522fb481436ecd664e054be0552a78a79a9b7e47c36,accepted_to_invocation,True,accounts_legacy_all_fields,source-derived,pass,[],<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/complementary-matrix-v2/parent-full84-v1/campaign/P3-COMPLEMENTARY-MATRIX-V2-ESSENTIAL12x7/cases/ESSENTIAL12x7-V2-E1-1-rates-specific-default-zero/replay/applications/0001-d9e65a8e5e8fa792/zero-shot-runs/p2b-runs/interest-nk5s2lwu/audit.json,"[""nonnegative DISPLAY only; overflow unqualified"", ""financial expectation requires final group update; source legacy does not"", ""timestamps and filler excluded from transaction comparison""]"
complementary,source-guided,E1-1,zero-shot,interest,ESSENTIAL12x7-V2-E1-1-rates-specific-default-zero,INTCALC-OBL-007,"[""default_nonzero"", ""final_account_eof"", ""multiple_accounts"", ""specific_nonzero"", ""specific_zero""]",e84269b9573f9b8ebc79f522fb481436ecd664e054be0552a78a79a9b7e47c36,accepted_to_invocation,True,accounts_financial_all_groups,explicit_financial_expectation_not_legacy_equivalence,failed,"[""value_or_multiplicity"", ""ordered_records_differ""]",<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/complementary-matrix-v2/parent-full84-v1/campaign/P3-COMPLEMENTARY-MATRIX-V2-ESSENTIAL12x7/cases/ESSENTIAL12x7-V2-E1-1-rates-specific-default-zero/replay/applications/0001-d9e65a8e5e8fa792/zero-shot-runs/p2b-runs/interest-nk5s2lwu/audit.json,"[""nonnegative DISPLAY only; overflow unqualified"", ""financial expectation requires final group update; source legacy does not"", ""timestamps and filler excluded from transaction comparison""]"
complementary,source-guided,E1-1,zero-shot,interest,ESSENTIAL12x7-V2-E1-1-rates-specific-default-zero,INTCALC-OBL-008,"[""default_nonzero"", ""final_account_eof"", ""multiple_accounts"", ""specific_nonzero"", ""specific_zero""]",e84269b9573f9b8ebc79f522fb481436ecd664e054be0552a78a79a9b7e47c36,accepted_to_invocation,True,accounts_financial_all_groups,explicit_financial_expectation_not_legacy_equivalence,failed,"[""value_or_multiplicity"", ""ordered_records_differ""]",<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/complementary-matrix-v2/parent-full84-v1/campaign/P3-COMPLEMENTARY-MATRIX-V2-ESSENTIAL12x7/cases/ESSENTIAL12x7-V2-E1-1-rates-specific-default-zero/replay/applications/0001-d9e65a8e5e8fa792/zero-shot-runs/p2b-runs/interest-nk5s2lwu/audit.json,"[""nonnegative DISPLAY only; overflow unqualified"", ""financial expectation requires final group update; source legacy does not"", ""timestamps and filler excluded from transaction comparison""]"
complementary,source-guided,E1-1,zero-shot,interest,ESSENTIAL12x7-V2-E1-1-single-final-eof,INTCALC-OBL-003,"[""final_account_eof"", ""single_account"", ""specific_nonzero""]",65b51c10852090877d03090a58d72293423df9e542d39d34d6b4d37c684f7133,accepted_to_invocation,True,interest_stable_fields_order,source-derived,failed,"[""value_or_multiplicity"", ""ordered_records_differ""]",<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/complementary-matrix-v2/parent-full84-v1/campaign/P3-COMPLEMENTARY-MATRIX-V2-ESSENTIAL12x7/cases/ESSENTIAL12x7-V2-E1-1-single-final-eof/replay/applications/0001-36434386638a5dfe/zero-shot-runs/p2b-runs/interest-lzux_x5m/audit.json,"[""nonnegative DISPLAY only; overflow unqualified"", ""financial expectation requires final group update; source legacy does not"", ""timestamps and filler excluded from transaction comparison""]"
complementary,source-guided,E1-1,zero-shot,interest,ESSENTIAL12x7-V2-E1-1-single-final-eof,INTCALC-OBL-004,"[""final_account_eof"", ""single_account"", ""specific_nonzero""]",65b51c10852090877d03090a58d72293423df9e542d39d34d6b4d37c684f7133,accepted_to_invocation,True,interest_stable_fields_order,source-derived,failed,"[""value_or_multiplicity"", ""ordered_records_differ""]",<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/complementary-matrix-v2/parent-full84-v1/campaign/P3-COMPLEMENTARY-MATRIX-V2-ESSENTIAL12x7/cases/ESSENTIAL12x7-V2-E1-1-single-final-eof/replay/applications/0001-36434386638a5dfe/zero-shot-runs/p2b-runs/interest-lzux_x5m/audit.json,"[""nonnegative DISPLAY only; overflow unqualified"", ""financial expectation requires final group update; source legacy does not"", ""timestamps and filler excluded from transaction comparison""]"
